// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
0	0.500000	C#4	61	64	0	0.750000	C#4	61	80	
1	0.970833	A3	57	73	1	1.000000	A3	57	80	
2	1.430208	F#3	54	74	2	1.250000	F#3	54	80	
3	1.942708	D4	62	74	3	1.500000	D4	62	80	
4	3.428125	C#4	61	55	4	2.250000	C#4	61	80	
5	3.640625	B3	59	62	5	2.375000	B3	59	80	
6	3.927083	C#4	61	56	6	2.500000	C#4	61	80	
7	5.340625	F#4	66	74	7	3.250000	F#4	66	80	
8	5.922917	B3	59	73	8	3.500000	B3	59	80	
9	7.368750	A3	57	54	9	4.250000	A3	57	80	
10	7.593750	G#3	56	63	10	4.375000	G#3	56	80	
11	7.851042	A3	57	61	11	4.500000	A3	57	80	
12	8.327083	F#3	54	61	12	4.750000	F#3	54	80	
13	8.788542	A3	57	50	14	5.061458	A3	57	80	
14	8.886458	G#3	56	61	15	5.125000	G#3	56	80	
15	9.012500	A3	57	61	16	5.186458	A3	57	80	
16	9.104167	G#3	56	56	17	5.250000	G#3	56	80	
17	9.216667	A3	57	61	18	5.311458	A3	57	80	
18	9.307292	G#3	56	59	19	5.375000	G#3	56	80	
19	9.418750	A3	57	59	20	5.436458	A3	57	80	
20	9.507292	G#3	56	53	21	5.500000	G#3	56	80	
21	9.623958	A3	57	55	22	5.561458	A3	57	80	
22	9.710417	G#3	56	52	23	5.625000	G#3	56	80	
23	9.822917	A3	57	53	24	5.686458	A3	57	80	
24	9.935417	G#3	56	53	25	5.750000	G#3	56	80	
25	10.069792	A3	57	46	26	5.811458	A3	57	80	
26	10.166667	G#3	56	47	27	5.875000	G#3	56	80	
27	10.278125	F#3	54	45	*	-1	*	-1	-1	
28	10.413542	G#3	56	39	28	5.936458	A3	57	80	
29	10.582292	F#3	54	31	29	6.000000	F#3	54	80	
30	11.089583	G#3	56	44	30	6.250000	G#3	56	80	
31	11.568750	A3	57	45	31	6.500000	A3	57	80	
32	12.054167	F#4	66	74	32	6.750000	F#4	66	80	
33	12.073958	B3	59	43	33	6.750000	B3	59	80	
34	12.558333	E4	64	69	34	7.000000	E4	64	80	
35	12.559375	C#4	61	40	35	7.000000	C#4	61	80	
36	13.059375	C#4	61	68	36	7.250000	C#4	61	80	
37	13.566667	A4	69	67	37	7.500000	A4	69	80	
38	14.079167	Eb4	63	28	38	7.750000	Eb4	63	80	
39	14.579167	E4	64	27	39	8.000000	E4	64	80	
40	15.040625	G#4	68	49	40	8.250000	G#4	68	80	
41	15.252083	F#4	66	55	41	8.375000	F#4	66	80	
42	15.502083	G#4	68	54	42	8.500000	G#4	68	80	
43	15.980208	E4	64	32	43	8.750000	E4	64	80	
44	16.450000	Bb3	58	36	44	9.000000	Bb3	58	80	
45	16.906250	C#5	73	70	45	9.250000	C#5	73	80	
46	17.365625	F#4	66	66	46	9.500000	F#4	66	80	
47	17.866667	C4	60	37	47	9.750000	C4	60	80	
48	18.327083	C#4	61	36	48	10.000000	C#4	61	80	
49	18.795833	E4	64	40	49	10.250000	E4	64	80	
50	19.014583	Eb4	63	45	50	10.375000	Eb4	63	80	
51	19.248958	E4	64	53	51	10.500000	E4	64	80	
52	19.730208	C#4	61	48	52	10.750000	C#4	61	80	
53	20.198958	E4	64	40	*	-1	*	-1	-1	
54	20.293750	Eb4	63	51	54	11.000000	Eb4	63	80	
55	20.397917	E4	64	53	*	-1	*	-1	-1	
